OBJECTID,FacilityName,Address,City,State,ZipCode,GLOBALID,index_right,cell_id,x,y,travel_times
1,Station 39,1247 South Dickerson Rd,Goodlettsvi,TN,37072,eac3496b-ab7d-4f6a-ad14-bf5ada67676a,362,362,-86.74436205129555,36.293402531341634,"[7.885000000000001, 5.614999999999999, 10.028333333333334, 5.671666666666667, 3.605, 4.1033333333333335, 4.708333333333333, 4.708333333333333, 7.216666666666667, 5.625, 5.625, 5.223333333333333, 7.935, 5.625, 9.221666666666666, 5.755]"
2,Station 31,415 Douglas Ave,Madison,TN,37115,02eb0d96-6a2d-46f0-8c6e-b5f116da0127,417,417,-86.70827143079754,36.26461137074202,[5.8149999999999995]
3,Station 36,1000 Donelson St,Old Hickory,TN,37138,c7a64605-5809-417b-8cf0-eee80a956583,492,492,-86.65454379197406,36.264914314806205,
4,Station 25,2589 Whites Creek Pike,Nashville,TN,37207,2524f01d-752e-4c45-a598-6a5d899fb770,276,276,-86.79737878315194,36.220543508077796,"[5.593333333333334, 7.743333333333334, 6.010000000000001, 3.135, 3.225, 3.1233333333333335, 3.8583333333333334, 4.3116666666666665, 4.963333333333334, 5.628333333333333, 3.58, 4.38, 5.693333333333333, 2.5316666666666667, 3.135, 2.69, 3.135, 2.8266666666666667, 4.975, 3.868333333333333, 9.308333333333334, 3.8583333333333334, 3.8516666666666666, 4.623333333333333, 3.765, 4.015, 3.585, 3.268333333333333, 4.001666666666667, 3.29, 4.073333333333333, 5.415, 4.413333333333333, 4.413333333333333, 4.208333333333333, 5.206666666666666, 5.875, 3.135, 0.8183333333333334, 3.3233333333333333, 3.915, 2.5116666666666663, 6.015, 0.925, 6.6, 4.153333333333333, 3.808333333333333, 2.26, 4.073333333333333, 5.996666666666667, 4.266666666666667, 3.58, 3.8866666666666663, 0.8183333333333334, 2.3316666666666666, 2.855, 4.266666666666667, 3.1233333333333335, 0.6566666666666666, 1.61, 4.6883333333333335, 1.3816666666666668, 5.053333333333333, 3.658333333333333, 2.4383333333333335, 5.67, 4.451666666666667, 4.451666666666667, 4.985, 3.29, 3.29, 4.678333333333333, 1.2366666666666668, 3.915, 4.975, 6.251666666666667, 5.45, 1.3816666666666668, 3.8433333333333337, 1.1933333333333331, 3.65, 1.22, 4.153333333333333, 3.5533333333333332, 3.175, 4.24, 4.873333333333333, 3.135, 4.826666666666667, 3.683333333333333, 3.8583333333333334, 3.135, 2.183333333333333, 5.4366666666666665, 3.695, 3.716666666666667, 8.26, 0.7783333333333334, 4.993333333333334, 5.838333333333334, 3.915, 3.915, 5.838333333333334, 3.5083333333333333, 3.8433333333333337, 6.281666666666666, 6.706666666666666, 5.035, 3.9566666666666666]"
5,Station 01,130 Broadmoor Ave,Nashville,TN,37207,fa10573a-b069-4f65-9663-0c4ecc4e2b0d,329,329,-86.76171986062096,36.23527793544818,"[3.57, 4.138333333333334, 4.0, 5.745, 2.5083333333333333, 4.0, 1.3216666666666663, 2.6116666666666664, 1.7666666666666666, 3.2666666666666666, 4.346666666666667, 4.386666666666667, 3.42, 6.836666666666667, 3.49, 4.376666666666667, 3.18, 3.49, 5.916666666666667, 4.448333333333333, 4.448333333333333, 5.235, 4.413333333333333, 1.475, 4.733333333333333, 6.608333333333333, 1.3783333333333334, 1.0916666666666666, 6.511666666666667, 1.475, 3.315, 2.5516666666666667, 4.6883333333333335, 7.311666666666667, 4.0, 6.278333333333333, 2.99, 8.145, 4.758333333333334, 1.475, 2.056666666666666, 4.621666666666667, 4.113333333333333, 2.51, 1.6883333333333332, 3.493333333333333, 5.680000000000001, 4.423333333333333, 3.931666666666666, 2.3433333333333333, 1.865, 7.196666666666667, 4.6883333333333335, 3.0766666666666667, 2.575, 3.8983333333333334, 1.475, 3.45, 5.848333333333333, 2.7633333333333336, 5.416666666666667, 2.78, 3.5733333333333333, 1.365, 3.42, 1.7666666666666666, 3.905, 4.526666666666667, 1.605, 6.1483333333333325, 6.3149999999999995, 5.8566666666666665, 5.546666666666667, 1.2233333333333334, 6.013333333333334, 6.378333333333333, 3.7583333333333337, 3.681666666666666, 5.196666666666667, 2.5083333333333333, 2.7366666666666664, 7.1466666666666665, 1.8616666666666668, 1.865, 3.7383333333333337, 4.368333333333334, 5.09, 4.448333333333333, 3.23, 4.5649999999999995, 1.1466666666666667, 5.931666666666667, 2.69, 2.6599999999999997, 4.776666666666667, 3.0766666666666667, 2.7150000000000003, 2.0983333333333336, 1.8616666666666668, 4.6883333333333335, 1.3216666666666663, 5.845, 5.741666666666666, 5.433333333333334, 3.786666666666666, 1.2233333333333334, 2.7633333333333336, 1.8616666666666668, 5.005, 4.03, 1.6183333333333332, 1.6183333333333332, 1.3283333333333334, 6.36, 4.513333333333334, 6.668333333333334, 2.5283333333333333, 6.385000000000001, 4.725, 3.7066666666666666, 5.11, 3.89, 7.083333333333333, 3.89, 3.345, 1.8616666666666668, 6.3, 4.801666666666667, 2.685, 1.475, 5.888333333333334, 5.193333333333333, 3.5416666666666665, 5.27, 4.801666666666667, 6.673333333333333, 5.691666666666666, 4.448333333333333, 1.8616666666666668, 2.3433333333333333, 2.615, 4.6850000000000005, 4.1883333333333335, 4.138333333333334, 4.62, 3.345, 6.114999999999999, 4.448333333333333, 4.6433333333333335, 4.91, 7.233333333333333, 6.328333333333333, 3.7916666666666665, 5.433333333333334, 2.3433333333333333, 1.8616666666666668, 3.6483333333333334, 2.6116666666666664, 1.3883333333333332, 1.8283333333333336, 3.2383333333333337, 3.696666666666667, 6.405, 6.696666666666667, 5.638333333333334, 4.6433333333333335, 3.0766666666666667, 2.8466666666666667, 4.5600000000000005, 5.258333333333334, 4.448333333333333, 2.81, 2.5516666666666667, 6.461666666666667, 5.571666666666667, 7.995, 1.2233333333333334, 1.475, 1.8283333333333336, 1.8283333333333336, 8.473333333333333, 4.19, 4.836666666666667, 3.246666666666667, 4.448333333333333, 3.856666666666667, 4.17, 4.89, 4.036666666666666, 3.856666666666667, 2.933333333333333, 4.776666666666667, 5.575, 6.243333333333334, 4.448333333333333]"
6,Station 29,4201 Gallatin Rd,Nashville,TN,37216,c275d6b6-f9a5-48ee-bce3-3e4d1f303abc,386,386,-86.72578210517429,36.22099496332082,"[1.5450000000000002, 19.651666666666664, 2.818333333333334, 2.1266666666666665, 0.8616666666666667, 6.071666666666667, 1.1616666666666666, 5.0216666666666665, 0.65, 4.923333333333333, 4.33, 1.1816666666666669, 1.27, 2.885, 3.225, 3.225, 4.448333333333333, 1.5, 4.753333333333333, 3.19, 0.43, 1.8183333333333331, 0.9966666666666666, 1.5, 2.4016666666666664, 2.825, 3.3433333333333333, 1.5066666666666668, 3.658333333333333, 0.4966666666666667, 4.4816666666666665, 2.1783333333333332, 2.06, 3.58, 6.586666666666667, 4.258333333333334, 2.3766666666666665, 3.4283333333333332, 2.4766666666666666, 4.733333333333333, 0.5233333333333333, 2.29, 7.069999999999999, 3.951666666666666, 2.0433333333333334, 6.723333333333333, 2.1533333333333333, 2.4766666666666666, 2.818333333333334, 2.82, 2.1866666666666665, 4.8133333333333335, 1.5, 2.4383333333333335, 1.0433333333333334, 1.8183333333333331, 1.8183333333333331, 1.0433333333333334, 1.5616666666666668, 1.5616666666666668, 1.72, 2.185, 2.006666666666667, 1.8183333333333331, 1.5066666666666668, 5.196666666666667, 3.065, 1.5066666666666668, 2.536666666666666, 5.613333333333333, 4.998333333333333]"
7,Station 22,2781 Pennington Bend,Nashville,TN,37214,3ae8b970-76ba-4f48-8f05-610dde07b18a,439,439,-86.68998347006657,36.22120477555471,"[2.235, 6.5216666666666665, 6.5216666666666665, 6.566666666666666, 7.098333333333333, 5.713333333333334, 5.2733333333333325, 4.194999999999999, 6.5216666666666665, 8.553333333333335, 7.128333333333333, 2.235, 4.878333333333333, 6.026666666666667, 6.741666666666666, 5.2733333333333325, 3.6633333333333336, 4.9366666666666665, 7.1866666666666665, 5.895, 6.5216666666666665, 4.2716666666666665, 4.133333333333334, 6.5216666666666665, 5.2733333333333325, 3.8883333333333336, 5.2733333333333325, 6.5216666666666665, 3.2783333333333333, 2.7766666666666664, 4.73, 7.1866666666666665, 7.1866666666666665, 5.2733333333333325, 6.013333333333334, 4.705, 5.2733333333333325, 7.498333333333333, 6.5216666666666665, 5.895, 6.29, 3.316666666666667, 6.013333333333334, 5.2733333333333325, 3.26, 6.5216666666666665, 3.615, 5.343333333333334, 2.0533333333333332, 9.785, 8.611666666666668, 3.26, 5.713333333333334]"
8,Station 24,3851 Clarksville Hwy,Nashville,TN,37218,1c509921-fef9-4d43-8108-9a4f124982a8,228,228,-86.83302445228225,36.20579849496836,"[5.925, 5.663333333333333, 5.663333333333333, 5.155, 6.983333333333333, 3.94, 8.291666666666666, 6.383333333333334, 7.746666666666667, 6.5233333333333325, 6.5233333333333325, 6.7316666666666665, 10.546666666666663, 9.098333333333333, 6.5233333333333325, 6.956666666666666, 5.233333333333333, 4.35, 6.7, 4.543333333333334, 3.65, 2.871666666666667, 5.663333333333333, 3.31, 7.16, 5.703333333333333, 7.131666666666666, 6.658333333333333, 6.658333333333333, 3.881666666666667, 6.91, 6.1466666666666665, 6.506666666666666, 6.506666666666666, 4.819999999999999, 7.5, 3.106666666666667, 3.31, 5.510000000000001, 6.1850000000000005, 7.1066666666666665, 8.155, 8.196666666666667, 5.703333333333333, 3.57, 5.891666666666667, 3.395, 3.395, 5.663333333333333, 5.955, 6.796666666666667, 4.543333333333334, 6.598333333333333, 5.891666666666667, 6.808333333333334, 3.69, 11.008333333333333, 6.383333333333334, 7.113333333333333, 7.260000000000001, 7.035, 6.5233333333333325, 4.543333333333334, 3.481666666666667, 4.258333333333334, 4.543333333333334, 3.31, 5.663333333333333, 4.543333333333334, 4.543333333333334, 5.663333333333333, 10.843333333333334, 5.663333333333333, 4.543333333333334, 5.155, 4.543333333333334, 5.663333333333333, 6.6066666666666665, 8.611666666666668, 2.82, 2.881666666666667, 3.915, 5.663333333333333, 7.153333333333333, 5.663333333333333, 3.905, 10.273333333333332, 3.7483333333333335, 5.305000000000001, 5.64, 3.395, 5.703333333333333, 9.378333333333334, 8.173333333333334, 6.671666666666667, 8.48, 4.203333333333333, 4.543333333333334, 5.663333333333333, 6.5233333333333325, 6.5233333333333325, 6.77, 7.948333333333333, 5.9783333333333335, 7.37, 4.543333333333334, 6.218333333333334, 11.198333333333332, 3.7483333333333335, 4.543333333333334, 3.4366666666666665, 4.543333333333334, 3.31, 5.155, 7.015, 3.946666666666667, 6.255, 3.946666666666667, 6.556666666666667, 4.543333333333334, 14.618333333333334, 7.5, 5.7266666666666675, 6.218333333333334, 4.705, 4.543333333333334, 4.678333333333333, 6.383333333333334, 6.239999999999999, 3.765, 4.318333333333333, 5.663333333333333, 2.6483333333333334, 4.293333333333334, 3.31, 3.731666666666667, 3.7233333333333336, 6.338333333333334, 4.543333333333334, 3.7483333333333335]"
9,Station 18,1151 East Cahal Ave,Nashville,TN,37206,033c5e7b-f7fc-435b-aba2-ca37c2d9ac4d,355,355,-86.74340941863072,36.19187906973514,"[3.9716666666666662, 5.895, 2.48, 2.521666666666667, 2.381666666666667, 2.381666666666667, 2.381666666666667, 2.381666666666667, 5.855, 2.536666666666666, 1.1266666666666665, 3.8366666666666664, 2.7083333333333335, 4.6033333333333335, 2.8, 1.2483333333333335, 3.5900000000000003, 2.07, 4.135, 3.7116666666666664, 2.371666666666667, 2.7366666666666664, 2.18, 1.835, 6.0233333333333325, 3.24, 6.718333333333334, 1.825, 2.2116666666666664, 2.2666666666666666, 5.316666666666666, 2.435, 1.825, 3.685, 2.658333333333333, 2.5816666666666666, 3.8, 4.6033333333333335, 1.6766666666666663, 1.3866666666666667, 6.723333333333333, 3.0133333333333336, 5.02, 2.81, 2.665, 1.5083333333333333, 2.81, 4.616666666666666, 0.81, 0.5883333333333333, 3.5616666666666665, 2.381666666666667, 1.528333333333333, 2.69, 2.06, 3.635, 2.315, 1.5083333333333333, 2.8316666666666666, 3.075, 2.5733333333333333, 1.9433333333333331, 0.83, 2.7849999999999997, 1.7033333333333334, 3.368333333333333, 3.9366666666666665, 2.371666666666667, 1.3916666666666666, 1.2516666666666665, 2.9283333333333332, 2.1566666666666667, 2.9683333333333333, 1.4933333333333332, 3.42, 1.5083333333333333, 3.815, 3.271666666666667, 3.271666666666667, 2.1083333333333334, 1.825, 1.5083333333333333, 6.468333333333334, 5.4783333333333335, 6.158333333333333, 4.128333333333333, 7.183333333333334, 1.5083333333333333, 3.815, 1.7033333333333334, 1.68, 6.078333333333333, 1.5083333333333333, 6.341666666666667, 3.1566666666666667, 1.5083333333333333, 5.713333333333334, 2.43]"
11,Station 11,1745 18th Ave N,Nashville,TN,37208,a6dc54b4-8690-45d3-928d-0ea611ba3025,250,250,-86.81483074012844,36.176913659954984,"[1.79, 3.8866666666666663, 4.965, 5.591666666666667, 5.281666666666666, 4.861666666666666, 3.3833333333333333, 4.278333333333333, 2.835, 3.9, 4.5233333333333325, 5.0616666666666665, 2.615, 2.4099999999999997, 3.536666666666666, 1.3483333333333334, 5.111666666666666, 4.861666666666666, 4.37, 4.616666666666666, 1.5799999999999998, 3.268333333333333, 5.671666666666667, 7.613333333333333, 3.1333333333333333, 1.2733333333333334, 3.685, 5.5183333333333335, 3.715, 7.4766666666666675, 2.606666666666667, 3.165, 3.393333333333333, 5.001666666666667, 5.671666666666667, 3.7116666666666664, 3.4883333333333337, 2.7083333333333335, 4.861666666666666, 3.421666666666667, 4.665, 5.671666666666667, 1.755, 2.2066666666666666, 3.825, 4.8533333333333335, 6.555000000000001, 3.195, 6.04, 5.323333333333333, 3.3833333333333333, 4.293333333333334, 5.861666666666666, 5.861666666666666, 4.5233333333333325, 2.7266666666666666, 5.743333333333334, 7.301666666666667, 7.006666666666666, 4.416666666666667, 7.4766666666666675, 4.141666666666667, 0.6516666666666667, 2.396666666666667, 4.975, 6.651666666666667, 4.515, 1.6616666666666666, 4.141666666666667, 5.0600000000000005, 5.091666666666667, 1.74, 3.27, 5.681666666666667, 6.8516666666666675, 2.725, 7.301666666666667, 4.97, 7.301666666666667, 5.0616666666666665, 5.0616666666666665, 2.475, 3.165, 1.5133333333333332, 4.746666666666667, 2.0733333333333333, 4.1066666666666665, 4.193333333333333, 4.303333333333333, 1.768333333333333, 1.6166666666666667, 5.281666666666666, 5.091666666666667, 2.025, 2.2416666666666667, 4.205, 3.941666666666667, 5.091666666666667, 7.301666666666667, 4.861666666666666, 2.3233333333333333, 3.715, 1.5799999999999998, 3.715, 3.685, 7.698333333333333, 4.081666666666667, 7.301666666666667, 7.301666666666667, 3.685, 5.455, 4.491666666666666, 2.6516666666666664, 4.093333333333333, 7.301666666666667, 4.3100000000000005, 4.9816666666666665, 7.301666666666667, 5.22, 2.9, 3.9133333333333336, 2.78, 7.301666666666667, 1.768333333333333, 1.6616666666666666, 5.323333333333333, 3.996666666666667, 3.4583333333333335, 2.4099999999999997, 1.6616666666666666, 5.866666666666666, 3.3633333333333337, 5.091666666666667, 5.323333333333333, 4.8966666666666665, 4.168333333333333, 2.966666666666667, 5.385000000000001, 1.2, 4.37, 1.2, 4.515, 7.301666666666667, 3.8866666666666663, 1.095, 5.316666666666666, 4.02, 4.675, 3.3116666666666665, 3.4283333333333332, 4.236666666666666, 5.618333333333334, 5.091666666666667, 2.6516666666666664, 2.48, 5.091666666666667, 3.8616666666666664, 3.1333333333333333, 1.7983333333333331, 4.2716666666666665, 7.2733333333333325, 7.301666666666667, 4.2716666666666665, 5.383333333333334, 3.195, 4.363333333333333, 4.735, 6.153333333333333, 4.446666666666667, 3.985, 5.3933333333333335, 5.305000000000001, 3.018333333333333, 2.9983333333333335, 7.301666666666667, 2.96, 3.635, 5.0616666666666665, 3.685, 2.96, 3.5716666666666668, 4.2716666666666665, 1.5799999999999998, 3.9033333333333338, 3.7666666666666666, 3.106666666666667, 5.133333333333334, 5.305000000000001, 4.928333333333333, 7.6, 4.678333333333333, 3.996666666666667, 1.2733333333333334, 3.43, 3.435, 3.786666666666666, 1.0066666666666666, 1.9166666666666667, 1.095, 4.5233333333333325, 2.2366666666666664, 2.4183333333333334, 5.323333333333333, 3.2333333333333334, 4.013333333333334, 3.365, 1.5799999999999998, 2.955, 3.841666666666667, 1.768333333333333, 3.411666666666666, 3.685, 7.2733333333333325, 3.6133333333333337, 4.5233333333333325, 7.301666666666667, 5.323333333333333, 2.453333333333333, 4.248333333333333, 4.168333333333333, 2.3233333333333333, 4.985, 2.7216666666666667, 5.3933333333333335, 3.5716666666666668, 4.461666666666667, 4.21, 4.456666666666666, 3.885, 1.6616666666666666, 3.118333333333333, 2.78, 4.861666666666666, 4.725, 7.301666666666667, 3.393333333333333, 4.281666666666666, 5.091666666666667, 5.016666666666667, 4.36, 3.715, 2.9516666666666667, 1.6700000000000002, 1.5799999999999998, 2.23, 4.861666666666666, 2.1599999999999997, 3.7116666666666664, 3.3916666666666666, 5.2283333333333335, 1.768333333333333, 5.675, 5.488333333333333, 1.6616666666666666, 5.5183333333333335, 7.301666666666667, 4.861666666666666, 1.5799999999999998, 2.146666666666667, 7.2733333333333325, 6.04, 3.8666666666666663, 4.861666666666666, 3.66, 2.606666666666667, 7.506666666666666, 3.1166666666666667, 4.861666666666666, 1.768333333333333, 7.708333333333333, 3.6983333333333337, 6.91, 4.05, 7.301666666666667, 2.6516666666666664, 5.598333333333333, 6.993333333333334, 2.6516666666666664, 4.623333333333333, 4.665, 4.569999999999999, 4.836666666666667, 5.34, 5.5, 5.5, 1.0616666666666668, 1.6616666666666666, 4.866666666666666, 3.165, 4.168333333333333, 3.28, 5.2283333333333335, 6.91, 1.93, 4.005, 3.3833333333333333, 1.5066666666666668, 1.6616666666666666, 7.301666666666667, 3.2633333333333336, 3.345, 4.861666666666666, 3.5266666666666664, 3.225, 5.091666666666667]"
