incident_id,FacilityName,assigned_cell_id
0,Station 12,352
1,Station 11,250
2,Station 08,270
3,Station 09,296
4,Station 18,355
5,Station 20,220
6,Station 24,228
7,Station 33,501
8,Station 09,296
9,Station 08,270
10,Station 37,80
11,Station 04,430
12,Station 03,326
13,Station 04,430
14,Station 15,432
15,Station 11,250
16,Station 08,270
17,Station 04,430
18,Station 21,350
19,Station 03,326
20,Station 19,249
21,Station 11,250
22,Station 12,352
23,Station 11,250
24,Station 09,296
25,Station 21,350
26,Station 15,432
27,Station 19,249
28,Station 12,352
29,Station 33,501
30,Station 09,296
31,Station 17,223
32,Station 20,220
33,Station 11,250
34,Station 09,296
35,Station 01,329
36,Station 20,220
37,Station 24,228
38,Station 01,329
39,Station 24,228
40,Station 09,296
41,Station 12,352
42,Station 06,375
43,Station 33,501
44,Station 03,326
45,Station 11,250
46,Station 24,228
47,Station 04,430
48,Station 24,228
49,Station 28,435
50,Station 06,375
51,Station 28,435
52,Station 28,435
53,Station 04,430
54,Station 23,177
55,Station 19,249
56,Station 09,296
57,Station 28,435
58,Station 08,270
59,Station 04,430
60,Station 13,224
61,Station 34,47
62,Station 34,47
63,Station 34,47
64,Station 12,352
65,Station 34,47
66,Station 34,47
67,Station 34,47
68,Station 35,542
69,Station 13,224
70,Station 34,47
71,Station 34,47
72,Station 34,47
73,Station 08,270
74,Station 09,296
75,Station 21,350
76,Station 18,355
77,Station 37,80
78,Station 22,439
79,Station 29,386
80,Station 16,270
81,Station 21,350
82,Station 19,249
83,Station 21,350
84,Station 24,228
85,Station 05,296
86,Station 24,228
87,Station 28,435
88,Station 03,326
89,Station 14,354
90,Station 25,276
91,Station 28,435
92,Station 11,250
93,Station 03,326
94,Station 14,354
95,Station 21,350
96,Station 18,355
97,Station 19,249
98,Station 24,228
99,Station 04,430
100,Station 29,386
101,Station 04,430
102,Station 21,350
103,Station 27,318
104,Station 21,350
105,Station 08,270
106,Station 34,47
107,Station 03,326
108,Station 12,352
109,Station 10,345
110,Station 37,80
111,Station 01,329
112,Station 04,430
113,Station 23,177
114,Station 37,80
115,Station 28,435
116,Station 04,430
117,Station 19,249
118,Station 06,375
119,Station 06,375
120,Station 20,220
121,Station 20,220
122,Station 03,326
123,Station 19,249
124,Station 06,375
125,Station 37,80
126,Station 19,249
127,Station 04,430
128,Station 12,352
129,Station 25,276
130,Station 24,228
131,Station 01,329
132,Station 37,80
133,Station 25,276
134,Station 28,435
135,Station 09,296
136,Station 22,439
137,Station 29,386
138,Station 09,296
139,Station 09,296
140,Station 13,224
141,Station 09,296
142,Station 08,270
143,Station 27,318
144,Station 14,354
145,Station 06,375
146,Station 06,375
147,Station 04,430
148,Station 09,296
149,Station 37,80
150,Station 09,296
151,Station 29,386
152,Station 06,375
153,Station 01,329
154,Station 04,430
155,Station 23,177
156,Station 34,47
157,Station 33,501
158,Station 07,149
159,Station 34,47
160,Station 34,47
161,Station 09,296
162,Station 34,47
163,Station 34,47
164,Station 21,350
165,Station 28,435
166,Station 11,250
167,Station 12,352
168,Station 29,386
169,Station 28,435
170,Station 24,228
171,Station 16,270
172,Station 20,220
173,Station 04,430
174,Station 10,345
175,Station 05,296
176,Station 37,80
177,Station 24,228
178,Station 28,435
179,Station 17,223
180,Station 12,352
181,Station 21,350
182,Station 09,296
183,Station 10,345
184,Station 11,250
185,Station 21,350
186,Station 29,386
187,Station 01,329
188,Station 40,534
189,Station 21,350
190,Station 19,249
191,Station 12,352
192,Station 33,501
193,Station 14,354
194,Station 07,149
195,Station 22,439
196,Station 08,270
197,Station 22,439
198,Station 18,355
199,Station 11,250
200,Station 19,249
201,Station 13,224
202,Station 09,296
203,Station 14,354
204,Station 11,250
205,Station 10,345
206,Station 08,270
207,Station 11,250
208,Station 11,250
209,Station 09,296
210,Station 13,224
211,Station 03,326
212,Station 12,352
213,Station 17,223
214,Station 19,249
215,Station 07,149
216,Station 12,352
217,Station 19,249
218,Station 21,350
219,Station 19,249
220,Station 12,352
221,Station 01,329
222,Station 21,350
223,Station 34,47
224,Station 14,354
225,Station 06,375
226,Station 12,352
227,Station 28,435
228,Station 21,350
229,Station 09,296
230,Station 07,149
231,Station 03,326
232,Station 08,270
233,Station 07,149
234,Station 09,296
235,Station 11,250
236,Station 24,228
237,Station 24,228
238,Station 09,296
239,Station 19,249
240,Station 12,352
241,Station 12,352
242,Station 05,296
243,Station 12,352
244,Station 04,430
245,Station 12,352
246,Station 17,223
247,Station 11,250
248,Station 22,439
249,Station 08,270
250,Station 19,249
251,Station 33,501
252,Station 28,435
253,Station 14,354
254,Station 33,501
255,Station 17,223
256,Station 11,250
257,Station 10,345
258,Station 11,250
259,Station 11,250
260,Station 34,47
261,Station 13,224
262,Station 08,270
263,Station 09,296
264,Station 28,435
265,Station 05,296
266,Station 21,350
267,Station 21,350
268,Station 11,250
269,Station 37,80
270,Station 25,276
271,Station 29,386
272,Station 28,435
273,Station 28,435
274,Station 28,435
275,Station 37,80
276,Station 12,352
277,Station 01,329
278,Station 09,296
279,Station 23,177
280,Station 28,435
281,Station 16,270
282,Station 37,80
283,Station 03,326
284,Station 09,296
285,Station 09,296
286,Station 01,329
287,Station 09,296
288,Station 20,220
289,Station 18,355
290,Station 09,296
291,Station 25,276
292,Station 27,318
293,Station 22,439
294,Station 34,47
295,Station 25,276
296,Station 12,352
297,Station 03,326
298,Station 18,355
299,Station 01,329
300,Station 18,355
301,Station 12,352
302,Station 19,249
303,Station 23,177
304,Station 17,223
305,Station 33,501
306,Station 18,355
307,Station 01,329
308,Station 29,386
